lat,lng,hgt,yaw,pitch,roll,t
47.115271799999995,8.6707532,1040.634,2.42851971077338,-0.004413627162437761,-0.22751525012578483,1416580114.961364
47.115257799999995,8.6707758,1040.645,2.358392555545284,-0.0017346187392353052,-0.22586591682265528,1416580115.2478828
47.115244399999995,8.6707995,1040.602,2.3100725981859287,0.00072548683867657,-0.22391616193147315,1416580115.4404767
47.115232,8.6708243,1040.554,2.2584610643489116,0.0013594526218132508,-0.2229534039585504,1416580115.64116
47.1152205,8.6708501,1040.529,2.208674626815945,0.0016408813547654777,-0.22212387765254366,1416580115.8407116
47.1152097,8.6708768,1040.523,2.1598463765947984,0.003558660994580576,-0.22206004755026057,1416580116.0462022
47.115199499999996,8.6709043,1040.5040000000001,2.1083804013087737,0.005186861664870701,-0.22106148953980448,1416580116.2508059
47.1151902,8.6709326,1040.465,2.0584840538594023,0.004804396217094942,-0.22144864018953658,1416580116.44055
47.115181899999996,8.670961499999999,1040.423,2.01067863198343,0.004566008623599238,-0.2212563578466194,1416580116.6411998
47.1151744,8.6709909,1040.338,1.9606266929163867,0.0032393641868055933,-0.22196018692881644,1416580116.840711
47.115167899999996,8.671020799999999,1040.306,1.9118687799299952,0.002651291184508464,-0.22259615425615686,1416580117.0444248
47.115162299999994,8.6710507,1040.3,1.8639347356696356,0.0011549249017512864,-0.22344575390250904,1416580117.2459226
47.1151577,8.6710812,1040.287,1.8145982962417921,8.171095236098047e-05,-0.22128667533080926,1416580117.442589
47.1151542,8.6711121,1040.277,1.7665449102499975,-0.0015966271843323998,-0.22112110904333704,1416580117.6432528
47.1151518,8.671143299999999,1040.212,1.7204422283561296,-0.0038424321660266436,-0.22206237987646602,1416580117.8428543
47.1151504,8.6711744,1040.132,1.6714141084924858,-0.004599572921381245,-0.2229760415427929,1416580118.044338
47.1151499,8.6712053,1040.13,1.623178862054953,-0.006526466632871264,-0.22346303547845678,1416580118.2450678
47.1151504,8.6712361,1040.117,1.5764037084557758,-0.009007339276889681,-0.22310872203876422,1416580118.4426904
47.115152099999996,8.6712667,1040.001,1.527361005659557,-0.011101596005830272,-0.22477569048874413,1416580118.6424227
47.1151548,8.6712972,1039.974,1.477046286252528,-0.012558421131050546,-0.22618238975876312,1416580118.8411884
47.1151586,8.6713273,1040.008,1.4308480971967545,-0.014140452449733942,-0.22674228915591693,1416580119.0457127
47.1151633,8.671357,1039.945,1.3799170421110103,-0.015816694027659617,-0.22661051723180003,1416580119.2463272
47.1151688,8.6713866,1039.891,1.3353453172507683,-0.016193759641771832,-0.22674853498653955,1416580119.4409616
47.1151753,8.6714156,1039.836,1.2841675469887566,-0.013773683221398603,-0.2263669774053008,1416580119.642568
47.115182999999995,8.6714438,1039.792,1.236317548308076,-0.010826080616277878,-0.22646615004934945,1416580119.8411937
47.1152009,8.671498999999999,1039.646,1.1395267973615877,-0.002226058813602272,-0.22483509428370843,1416580120.249293
47.1152109,8.6715258,1039.669,1.0864648012539115,0.0019409677260748825,-0.22493232572956076,1416580120.4409273
47.1152333,8.6715765,1039.583,1.0016242838075153,0.00500315518282668,-0.22513690080861073,1416580120.7844284
47.1152459,8.6716003,1039.49,0.9528610990653211,0.004190518064277393,-0.22376632168932442,1416580120.9801838
47.1152592,8.671623,1039.397,0.9005283120360094,0.003429144858746902,-0.2219875782716841,1416580121.1877992
47.1152592,8.671623,1039.397,0.8389611859606438,0.0029693436636692994,-0.22064334572010447,1416580121.4154837
47.115288,8.6716654,1039.3220000000001,0.7912562793348217,0.0011567404500472112,-0.21988508076235985,1416580121.621938
47.1153032,8.671685,1039.259,0.7373491621581061,-0.0012593292611580154,-0.22053526500352993,1416580121.8185894
47.1153189,8.671703299999999,1039.209,0.6872121106311118,-0.002843079052069486,-0.22116334667233548,1416580122.016201
47.1153355,8.6717206,1039.1970000000001,0.6398035074940153,-0.004051767082366098,-0.2214124254334885,1416580122.2197945
47.1153525,8.671737199999999,1039.159,0.5951232674948524,-0.0050696347446155254,-0.22200242379768437,1416580122.4164598
47.1153701,8.6717522,1039.1390000000001,0.544449364119418,-0.005975105125526348,-0.2221516256182437,1416580122.6180897
47.1153882,8.671765599999999,1039.172,0.4958473578861542,-0.007550310128337401,-0.22199086688208772,1416580122.8166993
47.1154066,8.6717778,1039.1490000000001,0.44769367651767167,-0.008979756192041943,-0.2218674758847149,1416580123.0191958
47.1154252,8.6717887,1039.186,0.40307861545765833,-0.008179618858654925,-0.22178485804641696,1416580123.217916
47.1154441,8.671797999999999,1039.186,0.347598723188767,-0.010576179640320316,-0.2204793045566005,1416580123.4424257
47.1154631,8.6718061,1039.1580000000001,0.3006641373841536,-0.01137407466151652,-0.21934104583937003,1416580123.642172
47.1154825,8.6718124,1039.096,0.2558291043121576,-0.011824886375915167,-0.2182698952987,1416580123.8418007
47.115502299999996,8.671817299999999,1039.094,0.20719734681381796,-0.011493678077000968,-0.21701214974542324,1416580124.0424619
47.115541799999995,8.6718232,1039.116,0.11311145841117204,-0.013836656769810052,-0.21793844643619212,1416580124.4427087
47.1155617,8.671824299999999,1039.156,0.06355590539204382,-0.013536433128378489,-0.2174758840931614,1416580124.6423428
47.1155817,8.671823999999999,1039.172,0.015495087981364187,-0.012964224437875815,-0.21721549227756132,1416580124.8429513
47.1156015,8.671821999999999,1039.192,-0.03288203874774022,-0.012268122202748089,-0.21360807260095535,1416580125.0445762
47.115620899999996,8.6718187,1039.172,-0.08284101408431958,-0.011044979423334711,-0.21053822670815525,1416580125.243181
