R=50_result, R=100_result, R=150_result, R=50_time, R=100_time, R=150_time
0.0000, 0.0000, 0.0269, 28840.0000, 24508.0000, 131484.0000
0.0212, 0.0394, 0.0981, 33081.0000, 28533.0000, 62590.0000
0.0000, 0.0067, 0.0365, 29781.0000, 26183.0000, 307519.0000
0.0365, 0.0490, 0.0471, 105443.0000, 138275.0000, 182373.0000
0.0481, 0.0923, 0.0808, 37178.0000, 61787.0000, 81859.0000
0.1337, 0.2279, 0.2558, 143597.0000, 191211.0000, 251719.0000
0.0000, 0.0221, 0.1231, 27020.0000, 63019.0000, 85291.0000
0.0000, 0.0000, 0.0731, 20878.0000, 26599.0000, 53529.0000
0.3375, 0.6221, 0.7596, 361167.0000, 429496.0000, 516466.0000
0.0077, 0.0760, 0.2288, 26806.0000, 40522.0000, 53217.0000
0.0404, 0.1731, 0.2885, 26861.0000, 46905.0000, 38171.0000
0.0000, 0.0096, 0.1125, 28023.0000, 45892.0000, 47668.0000
0.0471, 0.0721, 0.0750, 62426.0000, 105629.0000, 96884.0000
0.0000, 0.0096, 0.0981, 27973.0000, 46937.0000, 121913.0000
0.0000, 0.0000, 0.0000, 25693.0000, 32193.0000, 29118.0000
0.0029, 0.0394, 0.0375, 41927.0000, 64982.0000, 51879.0000
0.0000, 0.0087, 0.0279, 31169.0000, 49631.0000, 41871.0000
0.0000, 0.0000, 0.0048, 22440.0000, 30717.0000, 27968.0000
0.3654, 0.7212, 0.8144, 305691.0000, 195189.0000, 199735.0000
0.0288, 0.0279, 0.0519, 38278.0000, 57156.0000, 75943.0000
0.0019, 0.0038, 0.0058, 33539.0000, 49840.0000, 48053.0000
0.0000, 0.0000, 0.0019, 25930.0000, 30664.0000, 38512.0000
0.0000, 0.0221, 0.0452, 32868.0000, 71130.0000, 94803.0000
0.0029, 0.0827, 0.4817, 22063.0000, 53563.0000, 285066.0000
0.0010, 0.0010, 0.0010, 29331.0000, 37381.0000, 33326.0000
0.1981, 0.8154, 0.9971, 109931.0000, 297309.0000, 85182.0000
0.1038, 0.2135, 0.2365, 67370.0000, 131120.0000, 234346.0000
0.3779, 0.5702, 0.5702, 161364.0000, 139817.0000, 207230.0000
0.3596, 0.6798, 0.7817, 307220.0000, 156284.0000, 191662.0000
0.0000, 0.0115, 0.1115, 24146.0000, 31022.0000, 32019.0000
0.0000, 0.0000, 0.0087, 20137.0000, 25422.0000, 26747.0000
0.4769, 0.6077, 0.6942, 428388.0000, 269895.0000, 319222.0000
0.0433, 0.1923, 0.2308, 47910.0000, 46453.0000, 43680.0000
0.0308, 0.2135, 0.6135, 41504.0000, 95941.0000, 482519.0000
0.0000, 0.0000, 0.0981, 22945.0000, 26630.0000, 31702.0000
0.0000, 0.0000, 0.0000, 30025.0000, 29775.0000, 34245.0000
0.0000, 0.0000, 0.0298, 21311.0000, 21398.0000, 28482.0000
0.0269, 0.0356, 0.0413, 32814.0000, 41821.0000, 58093.0000
0.2115, 0.3971, 0.5163, 91204.0000, 209767.0000, 321515.0000
0.0000, 0.0010, 0.0087, 33756.0000, 33547.0000, 35712.0000
0.0000, 0.0000, 0.0077, 23499.0000, 24064.0000, 28895.0000
0.2260, 0.5885, 0.8346, 318470.0000, 252540.0000, 208317.0000
0.1038, 0.1442, 0.2029, 70159.0000, 73197.0000, 81825.0000
0.0000, 0.0442, 0.0923, 31637.0000, 30077.0000, 30581.0000
0.0000, 0.0365, 0.3327, 23190.0000, 37610.0000, 156736.0000
0.5577, 0.9471, 0.9865, 580440.0000, 224529.0000, 251932.0000
