R=50_result, R=100_result, R=150_result, R=50_time, R=100_time, R=150_time
0.2212, 0.6183, 0.9298, 218848.0000, 202218.0000, 167356.0000
0.6106, 0.7981, 0.9221, 400074.0000, 374831.0000, 352036.0000
0.0981, 0.3115, 0.3837, 85695.0000, 102206.0000, 132792.0000
0.0000, 0.0067, 0.0490, 30167.0000, 33781.0000, 41547.0000
0.2163, 0.3269, 0.3731, 80457.0000, 154114.0000, 358397.0000
0.0038, 0.0154, 0.0231, 32419.0000, 35578.0000, 36269.0000
0.0019, 0.2308, 0.7356, 30264.0000, 73300.0000, 314353.0000
0.0163, 0.0481, 0.0635, 28885.0000, 29165.0000, 42412.0000
0.0346, 0.0750, 0.0856, 34729.0000, 34854.0000, 49968.0000
0.0375, 0.3625, 0.7971, 47830.0000, 543345.0000, 215158.0000
0.0019, 0.0904, 0.2327, 26052.0000, 34343.0000, 64401.0000
0.3221, 0.7385, 0.8202, 191498.0000, 183885.0000, 210332.0000
0.0692, 0.1788, 0.3452, 64430.0000, 72516.0000, 74895.0000
0.0538, 0.4019, 0.6865, 61975.0000, 347327.0000, 134622.0000
0.0010, 0.0019, 0.0000, 32628.0000, 33377.0000, 35702.0000
0.0048, 0.2490, 0.6596, 31212.0000, 132319.0000, 74941.0000
0.0163, 0.0375, 0.0471, 43851.0000, 72381.0000, 101293.0000
0.0000, 0.0048, 0.0038, 27278.0000, 32113.0000, 33342.0000
0.0000, 0.0000, 0.0019, 25648.0000, 23611.0000, 29925.0000
0.1106, 0.2038, 0.2596, 58899.0000, 63805.0000, 77120.0000
0.0221, 0.0221, 0.0260, 38632.0000, 72402.0000, 181746.0000
0.0077, 0.1519, 0.4904, 220934.0000, 237931.0000, 605635.0000
0.0058, 0.0654, 0.0760, 24193.0000, 25318.0000, 27649.0000
0.0000, 0.0087, 0.0308, 26470.0000, 27777.0000, 30274.0000
0.1404, 0.3519, 0.4067, 62474.0000, 64195.0000, 71736.0000
0.1010, 0.1702, 0.1798, 85435.0000, 103557.0000, 146322.0000
0.0154, 0.1702, 0.5077, 31764.0000, 127623.0000, 294241.0000
0.0779, 0.0923, 0.1000, 60250.0000, 72621.0000, 91143.0000
0.0538, 0.0452, 0.0510, 71017.0000, 102300.0000, 137801.0000
0.0000, 0.0365, 0.2048, 29585.0000, 37788.0000, 49560.0000
0.0000, 0.0000, 0.0673, 21557.0000, 24225.0000, 51373.0000
0.0827, 0.1567, 0.1971, 38601.0000, 42257.0000, 45519.0000
0.1885, 0.4529, 0.5798, 61112.0000, 123034.0000, 143090.0000
0.3442, 0.5077, 0.5788, 282835.0000, 340668.0000, 358360.0000
0.0000, 0.0000, 0.0471, 22863.0000, 23706.0000, 26499.0000
0.0000, 0.0519, 0.3981, 27025.0000, 36435.0000, 98715.0000
0.4067, 0.8731, 0.9981, 155512.0000, 87447.0000, 62904.0000
0.0000, 0.0125, 0.0269, 27128.0000, 30997.0000, 31938.0000
0.1510, 0.1894, 0.1779, 67320.0000, 79659.0000, 99982.0000
0.2875, 0.3760, 0.3923, 85633.0000, 113459.0000, 183182.0000
0.0000, 0.0452, 0.1798, 23625.0000, 27247.0000, 39037.0000
0.0000, 0.0231, 0.2971, 24693.0000, 71546.0000, 111579.0000
0.0000, 0.0000, 0.0115, 21558.0000, 21113.0000, 27483.0000
0.0096, 0.1663, 0.5615, 35830.0000, 75580.0000, 847129.0000
0.0000, 0.0365, 0.2240, 23756.0000, 32655.0000, 404867.0000
0.0000, 0.0000, 0.0010, 27350.0000, 26924.0000, 39616.0000
0.3798, 0.8702, 0.9952, 165958.0000, 89223.0000, 69374.0000
0.0558, 0.1385, 0.1885, 74223.0000, 85906.0000, 130057.0000
0.0000, 0.0029, 0.0077, 26616.0000, 27236.0000, 59776.0000
0.0000, 0.1606, 0.6029, 25379.0000, 68616.0000, 664797.0000
0.0000, 0.0010, 0.0010, 29876.0000, 29691.0000, 28983.0000
0.1337, 0.4760, 0.6731, 196154.0000, 188399.0000, 277565.0000
0.1606, 0.7298, 0.9346, 133302.0000, 127702.0000, 100859.0000
0.0077, 0.0885, 0.2327, 29330.0000, 34647.0000, 49043.0000
