alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1050, 0.0192, 0.0012, 17707.0000, 3575.0000, 20155.0000
0.6610, 0.1375, 0.0399, 11578.0000, 4907.0000, 22753.0000
0.0360, 0.0010, 0.0002, 7786.0000, 2220.0000, 5584.0000
0.0230, 0.0000, 0.0001, 6549.0000, 1903.0000, 6322.0000
0.2920, 0.0673, 0.0207, 6216.0000, 3113.0000, 8520.0000
0.6710, 0.1413, 0.0489, 7596.0000, 3911.0000, 19334.0000
0.9270, 0.2644, 0.0535, 4491.0000, 2981.0000, 20544.0000
0.2930, 0.0452, 0.0198, 17533.0000, 6452.0000, 52966.0000
0.8570, 0.2644, 0.0361, 8122.0000, 3210.0000, 29640.0000
0.6800, 0.2712, 0.0349, 11240.0000, 3454.0000, 26488.0000
0.9110, 0.3221, 0.0679, 4169.0000, 3817.0000, 21778.0000
0.6270, 0.3356, 0.0321, 32502.0000, 7148.0000, 46502.0000
0.7300, 0.1683, 0.0281, 17383.0000, 5165.0000, 27532.0000
0.1550, 0.0413, 0.0020, 9792.0000, 2700.0000, 11079.0000
0.1570, 0.0250, 0.0117, 18571.0000, 5758.0000, 44543.0000
0.2740, 0.0663, 0.0086, 2826.0000, 1301.0000, 6585.0000
0.0180, 0.0038, 0.0001, 5894.0000, 1904.0000, 11953.0000
0.0570, 0.0096, 0.0002, 9426.0000, 2523.0000, 12604.0000
0.7190, 0.2250, 0.0368, 14012.0000, 4835.0000, 43798.0000
0.9980, 0.2048, 0.0412, 5483.0000, 2633.0000, 24105.0000
0.1080, 0.0183, 0.0030, 11594.0000, 2553.0000, 15255.0000
0.1960, 0.0173, 0.0090, 10282.0000, 3735.0000, 17447.0000
0.2270, 0.0375, 0.0026, 26553.0000, 5695.0000, 34585.0000
0.5260, 0.0885, 0.0304, 13228.0000, 3956.0000, 30071.0000
0.0080, 0.0019, 0.0001, 6136.0000, 2295.0000, 7698.0000
0.6740, 0.2644, 0.0329, 22638.0000, 5577.0000, 47227.0000
0.9110, 0.3606, 0.0651, 5783.0000, 2361.0000, 15641.0000
0.7060, 0.2375, 0.0302, 8039.0000, 3636.0000, 14898.0000
0.9770, 0.5538, 0.0828, 16661.0000, 6502.0000, 46698.0000
0.8990, 0.2375, 0.0480, 4502.0000, 2353.0000, 14865.0000
0.4380, 0.2038, 0.0168, 30275.0000, 6998.0000, 33018.0000
0.4340, 0.1615, 0.0149, 8831.0000, 2463.0000, 14244.0000
