alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1530, 0.0615, 0.0109, 1405631.0000, 203214.0000, 890014.0000
0.1820, 0.0644, 0.0135, 933775.0000, 142812.0000, 527175.0000
0.0110, 0.0010, 0.0006, 59043.0000, 34330.0000, 46164.0000
0.9130, 0.5192, 0.1367, 2524350.0000, 797876.0000, 3854847.0000
0.1260, 0.0375, 0.0026, 729153.0000, 112257.0000, 408966.0000
0.9180, 0.6490, 0.1232, 6439433.0000, 2425138.0000, 11358312.0000
0.4410, 0.0990, 0.0302, 566984.0000, 119616.0000, 462264.0000
0.1010, 0.0125, 0.0047, 384993.0000, 74333.0000, 244278.0000
0.2490, 0.0548, 0.0184, 1520251.0000, 227371.0000, 941334.0000
0.1380, 0.0279, 0.0070, 184188.0000, 46644.0000, 121097.0000
0.1770, 0.0337, 0.0082, 612910.0000, 110788.0000, 425640.0000
0.1410, 0.0327, 0.0076, 538463.0000, 88867.0000, 312138.0000
0.9960, 0.8231, 0.1649, 2639621.0000, 1786170.0000, 10875851.0000
1.0000, 0.8433, 0.1965, 984345.0000, 870843.0000, 5738840.0000
0.4120, 0.1288, 0.0382, 2541666.0000, 394834.0000, 1799068.0000
0.1190, 0.0202, 0.0059, 287144.0000, 59074.0000, 195748.0000
0.3810, 0.0769, 0.0202, 716074.0000, 113897.0000, 403579.0000
0.3000, 0.0702, 0.0197, 193395.0000, 47445.0000, 136141.0000
0.1050, 0.0231, 0.0041, 758651.0000, 108587.0000, 392098.0000
0.0040, 0.0000, 0.0009, 52476.0000, 32370.0000, 40122.0000
