alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1680, 0.0481, 0.0076, 137296.0000, 23509.0000, 213110.0000
0.0750, 0.0125, 0.0021, 39842.0000, 7363.0000, 52336.0000
0.0170, 0.0048, 0.0004, 8338.0000, 2085.0000, 10596.0000
0.1130, 0.0106, 0.0032, 52377.0000, 8865.0000, 72249.0000
0.0730, 0.0154, 0.0022, 24501.0000, 4756.0000, 37133.0000
0.1090, 0.0308, 0.0042, 55767.0000, 9679.0000, 76735.0000
0.0410, 0.0087, 0.0015, 21664.0000, 3761.0000, 27466.0000
0.1260, 0.0240, 0.0037, 62053.0000, 10152.0000, 79731.0000
0.0250, 0.0067, 0.0011, 10299.0000, 2318.0000, 14944.0000
0.0720, 0.0240, 0.0025, 44958.0000, 7333.0000, 51274.0000
0.0380, 0.0019, 0.0010, 21465.0000, 4557.0000, 25744.0000
0.0610, 0.0125, 0.0008, 21592.0000, 4011.0000, 29673.0000
0.1020, 0.0212, 0.0033, 40257.0000, 8360.0000, 57703.0000
0.1550, 0.0644, 0.0116, 145765.0000, 25010.0000, 235515.0000
0.0590, 0.0144, 0.0017, 39820.0000, 7319.0000, 48127.0000
0.1010, 0.0115, 0.0026, 39202.0000, 8861.0000, 52041.0000
0.0980, 0.0144, 0.0029, 45870.0000, 8006.0000, 63632.0000
0.1230, 0.0135, 0.0043, 54249.0000, 8932.0000, 78734.0000
0.0550, 0.0125, 0.0024, 19025.0000, 3851.0000, 32095.0000
0.0530, 0.0096, 0.0014, 23128.0000, 4242.0000, 29952.0000
0.1150, 0.0221, 0.0050, 73768.0000, 12136.0000, 108515.0000
0.0920, 0.0144, 0.0034, 41345.0000, 7313.0000, 51704.0000
0.0850, 0.0154, 0.0022, 46828.0000, 7774.0000, 64232.0000
0.1310, 0.0173, 0.0042, 49892.0000, 8709.0000, 73262.0000
0.0820, 0.0038, 0.0020, 36922.0000, 6176.0000, 41942.0000
0.0180, 0.0038, 0.0010, 12956.0000, 2703.0000, 17843.0000
0.0040, 0.0000, 0.0003, 3773.0000, 1587.0000, 5987.0000
0.0110, 0.0010, 0.0004, 5837.0000, 1677.0000, 7238.0000
0.1750, 0.0212, 0.0078, 175189.0000, 29296.0000, 230593.0000
0.0520, 0.0106, 0.0016, 21718.0000, 3938.0000, 31789.0000
0.0990, 0.0183, 0.0037, 49222.0000, 8331.0000, 67510.0000
0.0630, 0.0087, 0.0018, 22108.0000, 4617.0000, 33586.0000
0.0400, 0.0067, 0.0016, 21628.0000, 4866.0000, 27316.0000
0.0790, 0.0115, 0.0023, 36508.0000, 6444.0000, 46030.0000
0.0060, 0.0029, 0.0002, 8382.0000, 3332.0000, 12163.0000
0.1090, 0.0144, 0.0039, 64281.0000, 11691.0000, 95669.0000
0.0460, 0.0125, 0.0016, 28761.0000, 5164.0000, 31339.0000
0.0950, 0.0135, 0.0031, 37517.0000, 7691.0000, 54830.0000
0.1190, 0.0221, 0.0034, 52110.0000, 9995.0000, 78550.0000
0.1220, 0.0308, 0.0040, 64777.0000, 10770.0000, 80265.0000
0.0840, 0.0125, 0.0031, 33816.0000, 6844.0000, 47922.0000
0.0510, 0.0106, 0.0015, 27148.0000, 5809.0000, 33239.0000
0.1460, 0.0221, 0.0041, 69919.0000, 11278.0000, 89602.0000
0.1080, 0.0231, 0.0035, 36575.0000, 7094.0000, 53338.0000
0.0070, 0.0058, 0.0005, 6345.0000, 2328.0000, 7863.0000
0.0270, 0.0038, 0.0014, 14991.0000, 3355.0000, 21410.0000
0.1930, 0.0375, 0.0082, 173476.0000, 27184.0000, 213785.0000
0.1150, 0.0096, 0.0035, 64210.0000, 10435.0000, 77907.0000
0.0580, 0.0058, 0.0017, 31592.0000, 5813.0000, 38242.0000
0.0210, 0.0058, 0.0011, 14590.0000, 3030.0000, 19556.0000
0.0390, 0.0096, 0.0013, 28285.0000, 4983.0000, 36079.0000
0.0790, 0.0087, 0.0021, 25488.0000, 4625.0000, 37103.0000
0.0240, 0.0077, 0.0011, 12244.0000, 2850.0000, 18479.0000
0.0930, 0.0125, 0.0027, 43474.0000, 7330.0000, 62263.0000
0.1380, 0.0173, 0.0048, 68651.0000, 10890.0000, 86724.0000
0.0700, 0.0077, 0.0029, 33884.0000, 5713.0000, 39679.0000
0.0360, 0.0058, 0.0015, 16772.0000, 3402.0000, 27898.0000
0.0770, 0.0125, 0.0026, 31087.0000, 5678.0000, 41248.0000
0.0430, 0.0106, 0.0017, 29126.0000, 4860.0000, 35791.0000
0.0240, 0.0048, 0.0007, 11665.0000, 2741.0000, 14927.0000
0.1210, 0.0221, 0.0042, 58896.0000, 10378.0000, 78942.0000
0.0270, 0.0058, 0.0006, 12043.0000, 3137.0000, 15298.0000
0.0340, 0.0058, 0.0009, 22009.0000, 4125.0000, 25158.0000
0.0300, 0.0058, 0.0009, 18808.0000, 4896.0000, 23819.0000
0.0350, 0.0135, 0.0014, 19240.0000, 3727.0000, 22730.0000
0.1170, 0.0308, 0.0037, 56848.0000, 9175.0000, 71198.0000
0.0120, 0.0000, 0.0005, 5222.0000, 1639.0000, 7198.0000
0.0940, 0.0096, 0.0023, 31887.0000, 6174.0000, 46518.0000
0.0210, 0.0048, 0.0005, 12086.0000, 3007.0000, 14310.0000
0.1210, 0.0192, 0.0035, 61626.0000, 9924.0000, 79455.0000
0.0940, 0.0173, 0.0031, 45989.0000, 10282.0000, 62054.0000
0.0580, 0.0058, 0.0021, 36016.0000, 8937.0000, 44916.0000
0.0760, 0.0087, 0.0018, 34351.0000, 6467.0000, 46135.0000
0.0820, 0.0144, 0.0022, 35132.0000, 6943.0000, 44286.0000
0.0930, 0.0125, 0.0023, 44499.0000, 9411.0000, 64135.0000
0.0490, 0.0087, 0.0018, 23114.0000, 4870.0000, 30625.0000
0.1650, 0.0288, 0.0056, 112749.0000, 20354.0000, 150250.0000
0.0380, 0.0019, 0.0011, 17691.0000, 3787.0000, 26278.0000
0.0110, 0.0000, 0.0006, 6057.0000, 1643.0000, 7595.0000
0.0490, 0.0048, 0.0015, 17778.0000, 3702.0000, 22236.0000
0.0160, 0.0019, 0.0004, 9816.0000, 3336.0000, 14126.0000
0.0850, 0.0154, 0.0020, 27333.0000, 6240.0000, 41841.0000
0.1580, 0.0462, 0.0068, 116608.0000, 17110.0000, 164135.0000
0.1160, 0.0250, 0.0038, 69535.0000, 11653.0000, 92215.0000
0.0590, 0.0096, 0.0026, 33354.0000, 5522.0000, 43139.0000
0.0470, 0.0058, 0.0015, 26271.0000, 4755.0000, 33915.0000
0.1060, 0.0192, 0.0042, 53788.0000, 8717.0000, 79244.0000
0.0310, 0.0067, 0.0015, 15404.0000, 3394.0000, 25336.0000
0.0760, 0.0029, 0.0019, 35340.0000, 6107.0000, 46678.0000
0.0510, 0.0077, 0.0022, 36827.0000, 7676.0000, 42299.0000
0.0680, 0.0087, 0.0020, 43169.0000, 7632.0000, 52125.0000
0.0540, 0.0048, 0.0017, 22061.0000, 4817.0000, 28881.0000
0.1240, 0.0154, 0.0048, 70327.0000, 12576.0000, 91506.0000
0.0800, 0.0077, 0.0027, 34509.0000, 7357.0000, 45667.0000
0.0870, 0.0115, 0.0025, 32646.0000, 6249.0000, 46631.0000
0.0360, 0.0077, 0.0011, 15092.0000, 5013.0000, 19113.0000
0.1210, 0.0221, 0.0029, 50665.0000, 9041.0000, 67867.0000
0.1310, 0.0221, 0.0033, 72338.0000, 11302.0000, 88759.0000
0.1020, 0.0212, 0.0023, 51840.0000, 9238.0000, 62672.0000
0.0400, 0.0067, 0.0011, 24824.0000, 5021.0000, 24063.0000
