alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.2000, 0.0365, 0.0118, 886853.0000, 148659.0000, 1141696.0000
0.1060, 0.0279, 0.0056, 151635.0000, 42851.0000, 277480.0000
0.3620, 0.1019, 0.0224, 669172.0000, 123627.0000, 1328517.0000
0.0040, 0.0000, 0.0004, 36656.0000, 25046.0000, 42349.0000
0.0130, 0.0038, 0.0010, 50111.0000, 32091.0000, 56699.0000
0.0110, 0.0019, 0.0015, 54463.0000, 30086.0000, 64102.0000
0.0080, 0.0000, 0.0005, 45326.0000, 33021.0000, 50992.0000
0.0180, 0.0067, 0.0009, 56036.0000, 30033.0000, 75517.0000
0.1110, 0.0394, 0.0065, 264261.0000, 54286.0000, 391039.0000
0.0170, 0.0000, 0.0011, 61986.0000, 32090.0000, 78527.0000
0.0280, 0.0019, 0.0010, 54646.0000, 29583.0000, 64359.0000
0.0020, 0.0000, 0.0001, 28288.0000, 26847.0000, 26716.0000
0.2460, 0.0481, 0.0157, 527225.0000, 103436.0000, 666137.0000
0.0650, 0.0096, 0.0035, 67815.0000, 30135.0000, 91597.0000
0.0060, 0.0000, 0.0000, 34486.0000, 25053.0000, 39033.0000
0.4730, 0.1865, 0.0386, 901671.0000, 175955.0000, 1692588.0000
0.1930, 0.0644, 0.0146, 945989.0000, 149018.0000, 1059718.0000
0.2240, 0.0433, 0.0116, 443035.0000, 89796.0000, 729844.0000
0.5010, 0.1462, 0.0354, 1592975.0000, 288313.0000, 2655541.0000
0.0740, 0.0173, 0.0046, 74664.0000, 32939.0000, 94809.0000
0.0000, 0.0000, 0.0000, 35745.0000, 29478.0000, 31750.0000
0.1200, 0.0221, 0.0051, 156429.0000, 43100.0000, 210299.0000
0.0780, 0.0067, 0.0037, 125196.0000, 37991.0000, 152464.0000
0.1710, 0.0337, 0.0093, 303043.0000, 60616.0000, 334722.0000
0.0110, 0.0029, 0.0001, 117558.0000, 36091.0000, 157918.0000
0.5850, 0.2462, 0.0458, 1081117.0000, 218887.0000, 2486234.0000
0.2940, 0.0981, 0.0205, 614605.0000, 104616.0000, 749657.0000
0.0030, 0.0038, 0.0001, 31735.0000, 24772.0000, 27350.0000
0.3260, 0.0635, 0.0187, 489260.0000, 98525.0000, 710125.0000
0.0160, 0.0000, 0.0005, 54608.0000, 28358.0000, 51087.0000
0.0200, 0.0087, 0.0011, 74112.0000, 33999.0000, 73716.0000
0.0050, 0.0000, 0.0000, 32839.0000, 25827.0000, 27379.0000
0.5340, 0.1952, 0.0413, 2211426.0000, 338896.0000, 3752472.0000
0.7610, 0.3625, 0.0842, 2535165.0000, 558124.0000, 7730157.0000
0.1930, 0.0317, 0.0086, 203055.0000, 53352.0000, 236748.0000
0.1500, 0.0221, 0.0072, 120238.0000, 37884.0000, 135630.0000
0.0000, 0.0000, 0.0000, 31771.0000, 23999.0000, 26798.0000
0.1640, 0.0385, 0.0105, 385170.0000, 72516.0000, 719042.0000
0.0220, 0.0038, 0.0019, 78320.0000, 32462.0000, 82586.0000
0.0210, 0.0048, 0.0006, 50386.0000, 30076.0000, 50479.0000
0.8780, 0.3731, 0.0860, 1808776.0000, 437652.0000, 5761129.0000
0.7520, 0.3231, 0.0641, 1691732.0000, 320383.0000, 4211190.0000
0.1380, 0.0240, 0.0084, 206516.0000, 50919.0000, 334347.0000
0.1900, 0.0452, 0.0123, 268605.0000, 58266.0000, 375035.0000
0.4200, 0.1644, 0.0418, 2280713.0000, 378520.0000, 3128506.0000
0.0080, 0.0000, 0.0005, 46698.0000, 32683.0000, 49325.0000
0.1190, 0.0327, 0.0068, 287606.0000, 56437.0000, 405490.0000
0.3410, 0.0788, 0.0228, 306353.0000, 68455.0000, 502153.0000
0.1960, 0.0356, 0.0129, 237076.0000, 58449.0000, 299870.0000
0.0020, 0.0010, 0.0000, 32359.0000, 30566.0000, 28125.0000
0.0440, 0.0144, 0.0019, 437420.0000, 77095.0000, 467299.0000
0.1970, 0.0635, 0.0163, 873464.0000, 131955.0000, 1132156.0000
0.1570, 0.0394, 0.0084, 290131.0000, 63683.0000, 559015.0000
0.1380, 0.0481, 0.0073, 284019.0000, 57032.0000, 461498.0000
0.0250, 0.0019, 0.0009, 59173.0000, 30332.0000, 74491.0000
0.1350, 0.0337, 0.0081, 112521.0000, 34873.0000, 133920.0000
0.0180, 0.0010, 0.0010, 113571.0000, 36932.0000, 138132.0000
0.0850, 0.0106, 0.0035, 126856.0000, 38550.0000, 145451.0000
0.2580, 0.0558, 0.0142, 650511.0000, 111866.0000, 969535.0000
0.0170, 0.0000, 0.0008, 78047.0000, 33454.0000, 112498.0000
0.0130, 0.0000, 0.0003, 31043.0000, 22450.0000, 27546.0000
0.0850, 0.0154, 0.0039, 102347.0000, 37279.0000, 122108.0000
0.0380, 0.0125, 0.0026, 80405.0000, 31950.0000, 106625.0000
0.1320, 0.0250, 0.0078, 394343.0000, 79897.0000, 591045.0000
0.5810, 0.1587, 0.0379, 597130.0000, 125867.0000, 1215147.0000
0.4930, 0.1413, 0.0304, 654248.0000, 138484.0000, 1401663.0000
0.0310, 0.0067, 0.0012, 65683.0000, 29334.0000, 68639.0000
0.8740, 0.3163, 0.0759, 1083849.0000, 287910.0000, 3918583.0000
0.1310, 0.0240, 0.0062, 99603.0000, 35742.0000, 132175.0000
0.5110, 0.1644, 0.0355, 887811.0000, 161238.0000, 1373144.0000
0.4990, 0.1663, 0.0343, 763865.0000, 138358.0000, 1535295.0000
0.3090, 0.1000, 0.0272, 897365.0000, 160400.0000, 1786163.0000
0.4860, 0.1702, 0.0382, 1180935.0000, 234722.0000, 2569203.0000
