R=50_result, R=100_result, R=150_result, R=50_time, R=100_time, R=150_time
0.5640, 0.9070, 0.9900, 354543.0000, 268734.0000, 321441.0000
0.5100, 0.9850, 1.0000, 219571.0000, 199361.0000, 249966.0000
0.3030, 0.5520, 0.5840, 99465.0000, 101787.0000, 138897.0000
0.0000, 0.0020, 0.0020, 23121.0000, 22747.0000, 36954.0000
0.0020, 0.0590, 0.6240, 148674.0000, 162037.0000, 281628.0000
0.0020, 0.3880, 0.9070, 30886.0000, 149384.0000, 284102.0000
0.0000, 0.0350, 0.4730, 25587.0000, 33934.0000, 704696.0000
0.0000, 0.0000, 0.2150, 27807.0000, 26661.0000, 351981.0000
0.3420, 0.4400, 0.7990, 136846.0000, 344968.0000, 492998.0000
1.0000, 1.0000, 1.0000, 814078.0000, 805831.0000, 447424.0000
0.0310, 0.0180, 0.0190, 28202.0000, 30155.0000, 31477.0000
0.0980, 0.1470, 0.1480, 34850.0000, 129775.0000, 245801.0000
0.0000, 0.0000, 0.3760, 18624.0000, 25959.0000, 483043.0000
0.0000, 0.0480, 0.1750, 24674.0000, 34481.0000, 37040.0000
0.0460, 0.0530, 0.0560, 32361.0000, 34789.0000, 34601.0000
0.5730, 0.7810, 0.9300, 299825.0000, 445641.0000, 370200.0000
0.0000, 0.0000, 0.0010, 23167.0000, 23249.0000, 54173.0000
0.0000, 0.0000, 0.0690, 27214.0000, 28876.0000, 253592.0000
