alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1950, 0.0269, 0.0084, 23983.0000, 4224.0000, 19319.0000
0.3930, 0.0625, 0.0134, 43154.0000, 6701.0000, 40920.0000
0.0730, 0.0067, 0.0003, 48688.0000, 8140.0000, 34402.0000
0.0500, 0.0058, 0.0013, 34448.0000, 5102.0000, 22968.0000
0.0040, 0.0000, 0.0000, 9224.0000, 1964.0000, 6244.0000
0.3200, 0.0519, 0.0113, 50875.0000, 7802.0000, 37545.0000
0.0870, 0.0106, 0.0039, 17521.0000, 2972.0000, 12882.0000
0.1020, 0.0192, 0.0037, 20093.0000, 3126.0000, 13648.0000
0.4220, 0.0644, 0.0159, 76961.0000, 10931.0000, 61897.0000
0.0520, 0.0144, 0.0028, 45274.0000, 6425.0000, 32448.0000
0.2060, 0.0346, 0.0076, 41137.0000, 5883.0000, 29844.0000
0.3070, 0.0663, 0.0125, 89000.0000, 13210.0000, 61952.0000
0.1070, 0.0163, 0.0044, 32600.0000, 4971.0000, 26860.0000
0.1420, 0.0183, 0.0054, 17993.0000, 2975.0000, 14192.0000
0.3930, 0.0490, 0.0141, 62027.0000, 9780.0000, 45616.0000
0.1740, 0.0404, 0.0065, 24154.0000, 3770.0000, 17939.0000
0.3210, 0.0413, 0.0087, 60256.0000, 7672.0000, 39438.0000
