cubeSize=100_result, cubeSize=200_result, cubeSize=100_time, cubeSize=200_time
0.0060, 0.0940, 25900.0000, 1609400.0000
0.0090, 0.0300, 30519.0000, 118077.0000
0.0000, 0.0050, 29225.0000, 60958.0000
0.0000, 0.0130, 24756.0000, 42432.0000
0.5700, 0.5440, 232516.0000, 7520156.0000
0.5650, 0.6430, 405684.0000, 2791165.0000
0.6000, 0.4860, 295282.0000, 1459795.0000
1.0000, 0.8170, 388834.0000, 4446846.0000
0.6440, 0.6120, 599325.0000, 3134748.0000
0.0190, 0.0440, 27377.0000, 75806.0000
0.8180, 0.5870, 234599.0000, 12700655.0000
0.0010, 0.0450, 29427.0000, 156371.0000
0.0900, 0.1930, 181996.0000, 816375.0000
0.0000, 0.0080, 25852.0000, 56160.0000
0.2820, 0.0990, 44652.0000, 164004.0000
0.0120, 0.1190, 232952.0000, 1591853.0000
0.1430, 0.3280, 208545.0000, 1063354.0000
0.4890, 0.6020, 276069.0000, 1913941.0000
0.3790, 0.2440, 594858.0000, 1850829.0000
0.0000, 0.0010, 27938.0000, 41569.0000
0.0000, 0.0260, 27052.0000, 50038.0000
0.3930, 0.4470, 401045.0000, 1298370.0000
0.0000, 0.0020, 26025.0000, 50651.0000
0.6210, 0.3710, 188204.0000, 694318.0000
0.4970, 0.4680, 412982.0000, 4822107.0000
0.5450, 0.3780, 304081.0000, 1447290.0000
0.0980, 0.1210, 46224.0000, 178020.0000
0.0860, 0.1990, 89798.0000, 362177.0000
0.0000, 0.0740, 31195.0000, 189604.0000
0.0000, 0.0140, 26566.0000, 38092.0000
0.1770, 0.3450, 85864.0000, 5024388.0000
0.6060, 0.4270, 1752440.0000, 3836180.0000
0.0000, 0.0290, 26520.0000, 99305.0000
0.0000, 0.0810, 27428.0000, 223957.0000
0.0000, 0.0510, 31162.0000, 188130.0000
0.9410, 0.8420, 307745.0000, 4179406.0000
0.9580, 0.8000, 633559.0000, 2570730.0000
0.3340, 0.3060, 691193.0000, 1702444.0000
0.1980, 0.2360, 123787.0000, 344196.0000
0.7340, 0.6190, 269443.0000, 1678928.0000
0.0010, 0.1440, 39900.0000, 1067904.0000
0.3230, 0.3550, 296778.0000, 4375921.0000
0.0000, 0.0560, 37196.0000, 133448.0000
0.0710, 0.1060, 410140.0000, 938414.0000
0.5750, 0.4890, 324964.0000, 1631879.0000
0.0200, 0.0680, 47520.0000, 203396.0000
0.5740, 0.4370, 206789.0000, 2603960.0000
0.4940, 0.4960, 723932.0000, 5564822.0000
0.6740, 0.6260, 905714.0000, 3120018.0000
0.0930, 0.1360, 70714.0000, 1203140.0000
0.2310, 0.3760, 164545.0000, 3123820.0000
0.5960, 0.4820, 2620062.0000, 9041401.0000
0.1090, 0.0760, 43665.0000, 186895.0000
0.3360, 0.4000, 184035.0000, 4889123.0000
1.0000, 0.9720, 530537.0000, 3556677.0000
0.9940, 0.9170, 860895.0000, 5667049.0000
0.0000, 0.0200, 31173.0000, 59245.0000
0.0840, 0.3230, 113881.0000, 3709850.0000
0.0000, 0.0110, 28511.0000, 70475.0000
0.0240, 0.1890, 40006.0000, 2967451.0000
0.0000, 0.0230, 32107.0000, 153852.0000
0.0000, 0.0180, 25224.0000, 98244.0000
0.9000, 0.7460, 606119.0000, 2772080.0000
0.1060, 0.2140, 86864.0000, 1455136.0000
0.9580, 0.7920, 574134.0000, 4892361.0000
0.0320, 0.0730, 37232.0000, 227685.0000
0.2490, 0.1710, 78771.0000, 178040.0000
0.0000, 0.0670, 24805.0000, 423479.0000
0.0000, 0.0010, 23263.0000, 35544.0000
0.0830, 0.2640, 55090.0000, 741746.0000
0.2310, 0.2370, 188233.0000, 1584017.0000
0.0810, 0.1680, 95943.0000, 499301.0000
0.0000, 0.0020, 24292.0000, 41672.0000
0.0720, 0.1600, 50215.0000, 623975.0000
0.0000, 0.0010, 20327.0000, 35238.0000
0.1230, 0.2050, 137628.0000, 560669.0000
0.0170, 0.0840, 36246.0000, 136755.0000
0.0000, 0.0140, 24946.0000, 55662.0000
0.0870, 0.0630, 40513.0000, 190427.0000
0.0000, 0.0330, 19887.0000, 131421.0000
0.0000, 0.0770, 29365.0000, 148740.0000
0.0000, 0.0030, 22939.0000, 66726.0000
0.0030, 0.1180, 41013.0000, 772406.0000
0.0000, 0.0100, 28336.0000, 145853.0000
0.0000, 0.0050, 22576.0000, 45352.0000
0.0000, 0.0650, 23140.0000, 175881.0000
0.0000, 0.0070, 32591.0000, 164173.0000
0.3650, 0.2770, 252827.0000, 619381.0000
0.0020, 0.0120, 25546.0000, 32607.0000
0.0120, 0.1050, 43041.0000, 339467.0000
0.0000, 0.0630, 32205.0000, 507722.0000
0.0000, 0.0030, 33712.0000, 42630.0000
0.1960, 0.2660, 208614.0000, 1788802.0000
0.0370, 0.0560, 45339.0000, 140908.0000
0.0480, 0.2090, 114804.0000, 480739.0000
0.0550, 0.1720, 45883.0000, 775242.0000
0.0000, 0.0020, 33409.0000, 39877.0000
0.0000, 0.0900, 34366.0000, 199274.0000
0.1250, 0.0970, 38391.0000, 136371.0000
0.0630, 0.0770, 44940.0000, 225588.0000
