alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.6840, 0.1625, 0.0258, 29606.0000, 5863.0000, 40273.0000
0.5450, 0.1548, 0.0406, 12463.0000, 2840.0000, 23463.0000
0.8020, 0.2231, 0.0462, 9254.0000, 2565.0000, 20301.0000
0.2390, 0.0365, 0.0132, 10457.0000, 2269.0000, 19047.0000
0.0570, 0.0125, 0.0039, 3673.0000, 1377.0000, 6046.0000
0.1180, 0.0144, 0.0011, 8511.0000, 2017.0000, 10024.0000
0.0790, 0.0375, 0.0015, 22720.0000, 3952.0000, 28232.0000
0.2730, 0.0846, 0.0121, 5124.0000, 1712.0000, 7887.0000
0.4400, 0.1577, 0.0286, 8529.0000, 1517.0000, 6903.0000
0.4980, 0.1240, 0.0178, 20194.0000, 3575.0000, 26139.0000
0.0380, 0.0019, 0.0022, 12537.0000, 2568.0000, 18806.0000
0.4950, 0.1327, 0.0215, 4287.0000, 1608.0000, 6982.0000
0.2910, 0.0327, 0.0090, 7272.0000, 1947.0000, 10700.0000
0.2720, 0.0606, 0.0191, 3962.0000, 1534.0000, 7268.0000
0.8740, 0.2721, 0.0604, 11776.0000, 4025.0000, 35301.0000
0.0030, 0.0000, 0.0000, 4026.0000, 1274.0000, 4149.0000
0.8640, 0.3125, 0.0667, 6546.0000, 2342.0000, 17398.0000
