cells=4_result, cells=8_result, cells=16_result, cells=4_time, cells=8_time, cells=16_time
0.0022, 0.0029, 0.0027, 23778.0000, 23619.0000, 45845.0000
0.0095, 0.0115, 0.0116, 38622.0000, 81674.0000, 524888.0000
0.0174, 0.0099, 0.0103, 26305.0000, 31012.0000, 105196.0000
0.0094, 0.0090, 0.0089, 32452.0000, 47633.0000, 200041.0000
0.0069, 0.0047, 0.0045, 29563.0000, 45275.0000, 182927.0000
0.1329, 0.1082, 0.1072, 161114.0000, 658979.0000, 5457449.0000
0.0254, 0.0196, 0.0180, 38417.0000, 83116.0000, 514457.0000
0.0082, 0.0093, 0.0093, 32055.0000, 38076.0000, 121969.0000
0.0007, 0.0005, 0.0007, 27699.0000, 30881.0000, 74928.0000
0.0007, 0.0008, 0.0010, 32697.0000, 30283.0000, 41881.0000
0.0075, 0.0088, 0.0088, 36128.0000, 49587.0000, 180835.0000
0.0482, 0.0433, 0.0422, 45609.0000, 118195.0000, 748141.0000
0.0007, 0.0009, 0.0008, 29106.0000, 29123.0000, 69703.0000
0.1119, 0.0982, 0.0973, 90468.0000, 267759.0000, 2020889.0000
0.0000, 0.0003, 0.0003, 23605.0000, 23961.0000, 31293.0000
0.0953, 0.0776, 0.0779, 207319.0000, 858921.0000, 6752700.0000
0.0056, 0.0027, 0.0028, 27540.0000, 36317.0000, 141891.0000
0.0022, 0.0041, 0.0035, 32841.0000, 53994.0000, 307623.0000
