alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.9420, 0.3644, 0.1050, 827338.0000, 324193.0000, 1604041.0000
1.0000, 0.5558, 0.1220, 1402576.0000, 572330.0000, 2967185.0000
0.7490, 0.2808, 0.0560, 1238301.0000, 257039.0000, 1125288.0000
0.6900, 0.1750, 0.0464, 166926.0000, 57596.0000, 166781.0000
0.0020, 0.0000, 0.0000, 30162.0000, 26217.0000, 30561.0000
0.0060, 0.0000, 0.0002, 32861.0000, 25516.0000, 31726.0000
0.4100, 0.0798, 0.0159, 245671.0000, 54548.0000, 166692.0000
0.1590, 0.0144, 0.0036, 39724.0000, 27504.0000, 36077.0000
0.6620, 0.1856, 0.0446, 235819.0000, 80179.0000, 304898.0000
0.0010, 0.0000, 0.0000, 30080.0000, 26343.0000, 29840.0000
0.4400, 0.0779, 0.0201, 99514.0000, 34323.0000, 79385.0000
0.9690, 0.4865, 0.1405, 567506.0000, 245079.0000, 1155209.0000
0.0070, 0.0048, 0.0000, 35465.0000, 24279.0000, 31251.0000
0.0350, 0.0038, 0.0019, 95039.0000, 34230.0000, 81933.0000
0.0410, 0.0058, 0.0002, 62179.0000, 26390.0000, 48883.0000
0.0490, 0.0087, 0.0010, 77764.0000, 30984.0000, 57684.0000
0.2840, 0.0606, 0.0114, 347319.0000, 73491.0000, 263854.0000
0.1040, 0.0135, 0.0063, 198662.0000, 50580.0000, 136589.0000
