angles=2_result, angles=4_result, angles=8_result, angles=16_result, angles=2_time, angles=4_time, angles=8_time, angles=16_time
0.1240, 0.0670, 0.0452, 0.0348, 32861.0000, 30686.0000, 26254.0000, 33376.0000
0.8410, 0.7020, 0.5048, 0.3821, 118627.0000, 93898.0000, 64267.0000, 67553.0000
0.2410, 0.1300, 0.0712, 0.0545, 39747.0000, 37436.0000, 36024.0000, 36071.0000
0.1360, 0.0700, 0.0327, 0.0348, 30141.0000, 29795.0000, 28426.0000, 25632.0000
0.7870, 0.6130, 0.4298, 0.3259, 153019.0000, 99011.0000, 65171.0000, 63065.0000
0.5220, 0.3520, 0.2490, 0.1723, 60335.0000, 51283.0000, 39002.0000, 39443.0000
0.8850, 0.6970, 0.5135, 0.3866, 120520.0000, 92904.0000, 64924.0000, 60270.0000
0.2070, 0.1170, 0.0644, 0.0321, 44528.0000, 33870.0000, 26641.0000, 25132.0000
0.0370, 0.0190, 0.0048, 0.0116, 40561.0000, 32008.0000, 25559.0000, 25109.0000
0.9140, 0.5830, 0.4365, 0.3554, 85931.0000, 65383.0000, 45004.0000, 38094.0000
0.6550, 0.3300, 0.1952, 0.1500, 83507.0000, 58665.0000, 47368.0000, 34159.0000
0.4250, 0.1830, 0.1221, 0.0750, 58100.0000, 44488.0000, 33730.0000, 31929.0000
0.5800, 0.3730, 0.2279, 0.1580, 62921.0000, 51914.0000, 34843.0000, 31113.0000
0.0300, 0.0250, 0.0067, 0.0098, 53276.0000, 46485.0000, 33335.0000, 31462.0000
0.9330, 0.8120, 0.6567, 0.5232, 110599.0000, 124290.0000, 85235.0000, 68918.0000
0.1300, 0.0740, 0.0490, 0.0259, 40621.0000, 39704.0000, 32413.0000, 30592.0000
0.2960, 0.1240, 0.0788, 0.0500, 39815.0000, 38032.0000, 28051.0000, 29369.0000
0.0080, 0.0050, 0.0038, 0.0045, 25369.0000, 25825.0000, 21358.0000, 21518.0000
0.0760, 0.0530, 0.0462, 0.0179, 63390.0000, 50611.0000, 32579.0000, 29787.0000
0.5770, 0.3570, 0.1981, 0.1348, 58325.0000, 49512.0000, 35270.0000, 32272.0000
0.0460, 0.0470, 0.0144, 0.0125, 28763.0000, 27913.0000, 22259.0000, 24717.0000
0.2050, 0.1200, 0.0712, 0.0563, 33175.0000, 31747.0000, 25201.0000, 25437.0000
0.2320, 0.1240, 0.0712, 0.0598, 47903.0000, 40234.0000, 30483.0000, 28581.0000
0.2530, 0.1620, 0.1135, 0.0607, 40633.0000, 39790.0000, 32038.0000, 31185.0000
0.2950, 0.2090, 0.1125, 0.0750, 50652.0000, 44816.0000, 34105.0000, 33275.0000
0.0280, 0.0090, 0.0048, 0.0080, 48017.0000, 37909.0000, 28210.0000, 26534.0000
0.1110, 0.0650, 0.0375, 0.0205, 37989.0000, 34449.0000, 26545.0000, 27479.0000
0.0150, 0.0050, 0.0000, 0.0063, 31804.0000, 31995.0000, 27860.0000, 35434.0000
0.0540, 0.0170, 0.0115, 0.0116, 36187.0000, 34670.0000, 27213.0000, 34512.0000
0.0520, 0.0220, 0.0144, 0.0107, 30527.0000, 31168.0000, 25953.0000, 35389.0000
0.1130, 0.0760, 0.0192, 0.0286, 42531.0000, 36617.0000, 28182.0000, 35747.0000
0.0570, 0.0280, 0.0096, 0.0134, 33404.0000, 32956.0000, 27390.0000, 90859.0000
0.5050, 0.3410, 0.1971, 0.1437, 115234.0000, 88418.0000, 53327.0000, 85846.0000
0.0000, 0.0020, 0.0000, 0.0018, 27417.0000, 27343.0000, 22212.0000, 31825.0000
0.1650, 0.0900, 0.0615, 0.0286, 111648.0000, 71203.0000, 43951.0000, 50825.0000
0.0310, 0.0210, 0.0163, 0.0125, 47679.0000, 47897.0000, 33352.0000, 41647.0000
0.2260, 0.1200, 0.0750, 0.0500, 49579.0000, 41979.0000, 33128.0000, 38423.0000
0.0010, 0.0030, 0.0000, 0.0000, 26729.0000, 29248.0000, 24358.0000, 29963.0000
0.5870, 0.3120, 0.1712, 0.1125, 54221.0000, 46871.0000, 31132.0000, 34539.0000
