angles=2_result, angles=4_result, angles=8_result, angles=16_result, angles=2_time, angles=4_time, angles=8_time, angles=16_time
0.0490, 0.0220, 0.0135, 0.0063, 4325.0000, 2485.0000, 1778.0000, 1920.0000
0.2480, 0.1450, 0.0827, 0.0411, 4995.0000, 2913.0000, 2123.0000, 2101.0000
0.1270, 0.0600, 0.0308, 0.0214, 5702.0000, 3252.0000, 2163.0000, 2216.0000
0.1820, 0.1000, 0.0519, 0.0250, 5943.0000, 5211.0000, 2256.0000, 2337.0000
0.1870, 0.0810, 0.0452, 0.0304, 7052.0000, 3706.0000, 2680.0000, 2372.0000
0.0150, 0.0080, 0.0029, 0.0000, 2779.0000, 1512.0000, 1249.0000, 1349.0000
0.0850, 0.0480, 0.0288, 0.0089, 2263.0000, 1568.0000, 1344.0000, 1480.0000
0.0060, 0.0100, 0.0058, 0.0009, 3415.0000, 2078.0000, 1571.0000, 1630.0000
0.2120, 0.0950, 0.0442, 0.0330, 3744.0000, 2347.0000, 1755.0000, 1730.0000
0.1430, 0.0790, 0.0375, 0.0134, 5122.0000, 2859.0000, 2039.0000, 1890.0000
0.0590, 0.0350, 0.0154, 0.0089, 3294.0000, 2000.0000, 1484.0000, 1382.0000
0.0660, 0.0290, 0.0192, 0.0116, 4720.0000, 2859.0000, 1913.0000, 2012.0000
0.2820, 0.1740, 0.1115, 0.0616, 9884.0000, 5435.0000, 3621.0000, 3077.0000
0.0860, 0.0470, 0.0327, 0.0134, 4837.0000, 2735.0000, 2120.0000, 1824.0000
0.2100, 0.0970, 0.0423, 0.0223, 4459.0000, 2594.0000, 1831.0000, 1803.0000
0.2490, 0.1010, 0.0558, 0.0429, 5830.0000, 3212.0000, 2176.0000, 2150.0000
0.0660, 0.0320, 0.0240, 0.0036, 6058.0000, 3389.0000, 2117.0000, 1989.0000
0.0000, 0.0010, 0.0000, 0.0000, 1900.0000, 1312.0000, 1325.0000, 1090.0000
0.0820, 0.0470, 0.0288, 0.0179, 6204.0000, 3470.0000, 4846.0000, 1958.0000
0.0680, 0.0370, 0.0288, 0.0223, 2926.0000, 1902.0000, 3574.0000, 1530.0000
0.0450, 0.0240, 0.0173, 0.0071, 2699.0000, 1777.0000, 1930.0000, 1328.0000
0.1350, 0.0750, 0.0327, 0.0205, 7936.0000, 4038.0000, 3381.0000, 2285.0000
0.1680, 0.0920, 0.0404, 0.0250, 5122.0000, 2835.0000, 2484.0000, 1896.0000
0.1780, 0.0990, 0.0375, 0.0187, 6509.0000, 3622.0000, 3584.0000, 2261.0000
0.1600, 0.0960, 0.0365, 0.0223, 6892.0000, 3012.0000, 2654.0000, 1960.0000
0.2720, 0.1500, 0.0981, 0.0714, 20137.0000, 10449.0000, 7478.0000, 4961.0000
0.0160, 0.0050, 0.0019, 0.0000, 1467.0000, 1212.0000, 1671.0000, 1206.0000
0.1490, 0.0840, 0.0404, 0.0143, 6567.0000, 3059.0000, 2746.0000, 3942.0000
0.1620, 0.0780, 0.0500, 0.0223, 4122.0000, 2536.0000, 2466.0000, 2249.0000
0.1890, 0.1010, 0.0654, 0.0348, 16324.0000, 9589.0000, 7060.0000, 6608.0000
0.2310, 0.1170, 0.0577, 0.0312, 6567.0000, 3683.0000, 2839.0000, 2616.0000
0.2600, 0.1470, 0.0990, 0.0411, 6107.0000, 7680.0000, 3239.0000, 3059.0000
0.0580, 0.0570, 0.0298, 0.0241, 4333.0000, 2865.0000, 2476.0000, 2128.0000
0.1620, 0.0810, 0.0452, 0.0268, 5132.0000, 3867.0000, 2523.0000, 2992.0000
0.1710, 0.0810, 0.0375, 0.0205, 5494.0000, 4071.0000, 2567.0000, 5697.0000
0.0010, 0.0010, 0.0000, 0.0000, 1753.0000, 1582.0000, 1403.0000, 1588.0000
0.1070, 0.0510, 0.0288, 0.0125, 5433.0000, 4032.0000, 2585.0000, 2633.0000
0.0700, 0.0360, 0.0221, 0.0170, 3623.0000, 3000.0000, 2062.0000, 2036.0000
0.0620, 0.0260, 0.0337, 0.0098, 4483.0000, 3701.0000, 2337.0000, 2657.0000
