alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1170, 0.0481, 0.0020, 966823.0000, 139118.0000, 571308.0000
0.3230, 0.0644, 0.0122, 46408.0000, 28414.0000, 35037.0000
0.7250, 0.1529, 0.0328, 86849.0000, 39558.0000, 92547.0000
0.0700, 0.0067, 0.0030, 32137.0000, 27370.0000, 31051.0000
0.0020, 0.0000, 0.0000, 46103.0000, 25810.0000, 36520.0000
0.0210, 0.0010, 0.0017, 102754.0000, 40671.0000, 67497.0000
0.0270, 0.0067, 0.0017, 63529.0000, 30252.0000, 46408.0000
1.0000, 0.3769, 0.1075, 223679.0000, 57103.0000, 239577.0000
0.0150, 0.0000, 0.0003, 66558.0000, 32231.0000, 49824.0000
0.1360, 0.0308, 0.0120, 1130964.0000, 166428.0000, 780988.0000
0.3940, 0.0846, 0.0249, 79376.0000, 32557.0000, 58639.0000
0.9420, 0.3779, 0.0628, 160732.0000, 61664.0000, 162814.0000
0.0480, 0.0106, 0.0001, 897016.0000, 139577.0000, 495196.0000
0.2170, 0.0587, 0.0043, 104463.0000, 37197.0000, 65910.0000
0.2460, 0.0654, 0.0215, 689847.0000, 112386.0000, 418784.0000
0.0510, 0.0096, 0.0026, 167362.0000, 48563.0000, 113197.0000
0.0410, 0.0058, 0.0017, 38316.0000, 25675.0000, 32416.0000
0.3560, 0.1192, 0.0131, 447586.0000, 92572.0000, 320605.0000
1.0000, 0.9654, 0.1721, 59819.0000, 81245.0000, 783730.0000
0.0990, 0.0144, 0.0031, 51350.0000, 29888.0000, 44141.0000
1.0000, 0.8337, 0.3436, 1133963.0000, 868925.0000, 5831343.0000
0.0420, 0.0087, 0.0002, 51664.0000, 25854.0000, 41610.0000
0.0010, 0.0000, 0.0000, 37720.0000, 29467.0000, 35333.0000
0.2370, 0.0298, 0.0167, 283195.0000, 67351.0000, 182432.0000
0.4550, 0.0625, 0.0091, 53880.0000, 30850.0000, 42602.0000
0.0040, 0.0019, 0.0005, 917823.0000, 134335.0000, 542200.0000
1.0000, 0.6885, 0.2008, 513768.0000, 311777.0000, 1709881.0000
1.0000, 0.9490, 0.2613, 292430.0000, 136599.0000, 1438046.0000
0.7390, 0.1567, 0.0738, 1548455.0000, 269824.0000, 1131366.0000
0.9980, 0.6702, 0.2111, 321213.0000, 108662.0000, 522769.0000
0.4370, 0.0712, 0.0285, 161195.0000, 41489.0000, 114284.0000
0.6340, 0.1596, 0.0513, 459203.0000, 93794.0000, 340805.0000
0.7940, 0.3010, 0.0231, 841156.0000, 301438.0000, 1368427.0000
0.1850, 0.0202, 0.0026, 53756.0000, 29407.0000, 42713.0000
0.0840, 0.0106, 0.0078, 727016.0000, 124289.0000, 413586.0000
0.1220, 0.0173, 0.0051, 244155.0000, 59207.0000, 144828.0000
0.9270, 0.3558, 0.1029, 121369.0000, 56646.0000, 214496.0000
1.0000, 0.8442, 0.2909, 153520.0000, 332669.0000, 2572012.0000
1.0000, 0.9500, 0.1012, 108419.0000, 257631.0000, 3580951.0000
0.0150, 0.0010, 0.0013, 52319.0000, 27409.0000, 39621.0000
0.9040, 0.2202, 0.0870, 340132.0000, 77722.0000, 255340.0000
0.0860, 0.0135, 0.0046, 125334.0000, 38174.0000, 84440.0000
0.3410, 0.2452, 0.0217, 1728273.0000, 247143.0000, 1005740.0000
0.0230, 0.0077, 0.0013, 286168.0000, 57518.0000, 176085.0000
0.6880, 0.2192, 0.0962, 1273312.0000, 246707.0000, 1185317.0000
0.8020, 0.3529, 0.1287, 352362.0000, 91803.0000, 389486.0000
0.8040, 0.3394, 0.1605, 1064502.0000, 349006.0000, 1644366.0000
0.0060, 0.0019, 0.0006, 91989.0000, 39211.0000, 64173.0000
0.7790, 0.1394, 0.0405, 208406.0000, 46915.0000, 128131.0000
0.9850, 0.3567, 0.1348, 215076.0000, 134587.0000, 831517.0000
0.1510, 0.0356, 0.0070, 616596.0000, 106146.0000, 349446.0000
1.0000, 0.9663, 0.2030, 241692.0000, 155954.0000, 3131406.0000
0.9630, 0.4904, 0.0645, 490138.0000, 119568.0000, 490783.0000
0.6460, 0.1423, 0.0516, 275963.0000, 61144.0000, 183594.0000
0.2100, 0.0385, 0.0162, 112800.0000, 40374.0000, 89087.0000
1.0000, 0.7913, 0.2452, 896002.0000, 300077.0000, 1840877.0000
0.9560, 0.3385, 0.1287, 263790.0000, 149559.0000, 605480.0000
0.0070, 0.0029, 0.0006, 51239.0000, 27249.0000, 37179.0000
0.0620, 0.0154, 0.0012, 221081.0000, 53538.0000, 135462.0000
0.9830, 0.4625, 0.1590, 216279.0000, 215964.0000, 1094489.0000
0.3820, 0.1413, 0.0502, 981779.0000, 162316.0000, 674411.0000
0.0050, 0.0010, 0.0001, 65408.0000, 33727.0000, 50976.0000
0.0040, 0.0000, 0.0002, 53209.0000, 36503.0000, 43963.0000
0.1230, 0.0115, 0.0068, 116794.0000, 51802.0000, 79276.0000
1.0000, 0.7452, 0.1830, 313822.0000, 155057.0000, 484492.0000
0.8650, 0.4019, 0.1623, 1320334.0000, 328341.0000, 1317214.0000
0.6030, 0.2663, 0.0295, 643522.0000, 115964.0000, 384243.0000
0.2630, 0.0894, 0.0081, 615573.0000, 100388.0000, 324746.0000
0.4220, 0.1308, 0.0338, 1032868.0000, 165181.0000, 677655.0000
0.0530, 0.0135, 0.0006, 92230.0000, 28627.0000, 54607.0000
0.0000, 0.0000, 0.0002, 38732.0000, 31946.0000, 34211.0000
0.1160, 0.0212, 0.0084, 305247.0000, 59182.0000, 173717.0000
0.8950, 0.4808, 0.0696, 844164.0000, 210057.0000, 1152783.0000
1.0000, 0.9298, 0.3426, 446836.0000, 219168.0000, 1804637.0000
0.8660, 0.7913, 0.0785, 1039631.0000, 142784.0000, 920641.0000
1.0000, 0.6567, 0.1615, 997761.0000, 666053.0000, 3781494.0000
0.5300, 0.0971, 0.0146, 338228.0000, 95313.0000, 365046.0000
1.0000, 0.6721, 0.0940, 1975177.0000, 1003481.0000, 4711642.0000
0.7130, 0.1106, 0.0255, 105701.0000, 45788.0000, 104849.0000
0.0360, 0.0029, 0.0004, 88609.0000, 31048.0000, 58836.0000
0.9820, 0.4788, 0.0701, 443589.0000, 96693.0000, 428048.0000
0.3480, 0.1077, 0.0240, 317379.0000, 72321.0000, 194045.0000
0.1650, 0.0481, 0.0016, 349925.0000, 61456.0000, 189576.0000
0.9890, 0.3846, 0.1295, 768182.0000, 255245.0000, 1213628.0000
0.6120, 0.1885, 0.0703, 61019.0000, 27592.0000, 43036.0000
0.8360, 0.1962, 0.0242, 244814.0000, 51726.0000, 165386.0000
0.5810, 0.1192, 0.0417, 102780.0000, 38050.0000, 65102.0000
1.0000, 0.5615, 0.1118, 77583.0000, 143372.0000, 1010079.0000
0.0650, 0.0067, 0.0027, 120570.0000, 39596.0000, 70821.0000
0.0030, 0.0010, 0.0000, 54412.0000, 22534.0000, 29937.0000
0.0120, 0.0019, 0.0010, 82065.0000, 28450.0000, 45571.0000
0.9640, 0.3962, 0.0976, 505924.0000, 135676.0000, 609229.0000
