alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.1230, 0.0298, 0.0044, 29653.0000, 4637.0000, 33693.0000
0.0890, 0.0144, 0.0028, 11292.0000, 2320.0000, 16613.0000
0.1420, 0.0221, 0.0046, 30937.0000, 5812.0000, 37728.0000
0.1630, 0.0240, 0.0050, 29027.0000, 5223.0000, 36780.0000
0.0430, 0.0058, 0.0014, 9910.0000, 2331.0000, 13696.0000
0.1460, 0.0221, 0.0045, 17816.0000, 3945.0000, 32191.0000
0.1990, 0.0279, 0.0063, 23476.0000, 4726.0000, 50919.0000
0.0090, 0.0029, 0.0002, 7564.0000, 1809.0000, 9690.0000
0.0540, 0.0048, 0.0014, 13145.0000, 3329.0000, 19036.0000
0.3180, 0.0788, 0.0161, 65259.0000, 11249.0000, 111664.0000
0.1840, 0.0231, 0.0045, 22122.0000, 5618.0000, 32800.0000
0.0570, 0.0106, 0.0017, 6000.0000, 2058.0000, 9011.0000
0.0850, 0.0106, 0.0026, 13262.0000, 2934.0000, 18643.0000
0.1100, 0.0260, 0.0036, 13914.0000, 4535.0000, 21481.0000
0.2520, 0.0712, 0.0128, 63047.0000, 13283.0000, 89862.0000
0.1920, 0.0288, 0.0067, 30097.0000, 6800.0000, 41388.0000
0.0700, 0.0173, 0.0024, 8786.0000, 3237.0000, 11498.0000
