cells=4_result, cells=8_result, cells=16_result, cells=4_time, cells=8_time, cells=16_time
0.0073, 0.0048, 0.0041, 15741.0000, 53618.0000, 429030.0000
0.0307, 0.0304, 0.0301, 41319.0000, 153878.0000, 1231875.0000
0.0057, 0.0041, 0.0037, 10386.0000, 35121.0000, 273927.0000
0.0068, 0.0073, 0.0067, 7051.0000, 20200.0000, 151928.0000
0.0061, 0.0068, 0.0061, 11867.0000, 34296.0000, 257511.0000
0.0095, 0.0060, 0.0058, 18106.0000, 60943.0000, 566303.0000
0.0015, 0.0031, 0.0027, 8626.0000, 23374.0000, 182074.0000
0.0111, 0.0104, 0.0104, 13130.0000, 39689.0000, 306393.0000
0.0052, 0.0043, 0.0043, 14633.0000, 41333.0000, 321647.0000
0.0103, 0.0089, 0.0095, 14772.0000, 38941.0000, 305943.0000
0.0096, 0.0086, 0.0081, 13287.0000, 38452.0000, 302594.0000
0.0091, 0.0073, 0.0073, 7435.0000, 19858.0000, 147920.0000
0.0063, 0.0072, 0.0072, 9905.0000, 26509.0000, 202297.0000
0.0236, 0.0269, 0.0255, 25820.0000, 69096.0000, 553764.0000
0.0030, 0.0022, 0.0023, 3058.0000, 5658.0000, 34956.0000
0.0048, 0.0053, 0.0049, 15640.0000, 40128.0000, 307564.0000
0.0043, 0.0045, 0.0043, 12570.0000, 32437.0000, 250218.0000
