alg1_result, alg2_result, alg3_result, alg1_time, alg2_time, alg3_time
0.0970, 0.0317, 0.0008, 317381.0000, 63943.0000, 189411.0000
0.2560, 0.0913, 0.0059, 244438.0000, 52016.0000, 157062.0000
0.4530, 0.0865, 0.0254, 665819.0000, 147305.0000, 660364.0000
0.7250, 0.2865, 0.0730, 782583.0000, 146113.0000, 673693.0000
0.9510, 0.4606, 0.1695, 568842.0000, 248010.0000, 1324365.0000
1.0000, 0.8885, 0.1728, 272535.0000, 276183.0000, 2032112.0000
0.2170, 0.0644, 0.0066, 100485.0000, 35638.0000, 69993.0000
0.1290, 0.0298, 0.0027, 34752.0000, 26596.0000, 30846.0000
0.0000, 0.0000, 0.0003, 30213.0000, 27550.0000, 28949.0000
1.0000, 0.7269, 0.2237, 639376.0000, 498626.0000, 3167476.0000
0.3860, 0.0510, 0.0162, 83702.0000, 33333.0000, 60335.0000
0.2310, 0.1106, 0.0069, 117972.0000, 37507.0000, 85401.0000
0.1560, 0.0346, 0.0121, 107850.0000, 35109.0000, 77700.0000
1.0000, 0.4202, 0.1300, 194841.0000, 57672.0000, 195841.0000
0.0020, 0.0000, 0.0000, 55255.0000, 33473.0000, 45519.0000
0.3690, 0.0606, 0.0174, 670319.0000, 139577.0000, 545643.0000
0.9780, 0.5817, 0.0774, 704400.0000, 274886.0000, 1413044.0000
0.9620, 0.4490, 0.1305, 452216.0000, 156305.0000, 697284.0000
