,index,number of fov,result_GEO,time1,result_MC,time2,error
0,99,16,0.00010150952226472401,0.5808601379394531,0.0,0.011890172958374023,0.00010150952226472401
1,69,58,0.020143577845895315,2.980781078338623,0.027,0.02103710174560547,-0.006856422154104685
2,32,61,0.014343508497835306,14.653388977050781,0.016,0.006422996520996094,-0.0016564915021646948
3,96,61,0.021000859665616177,2.4482579231262207,0.013000000000000001,0.022976160049438477,0.008000859665616176
4,91,89,0.02603297269818885,9.217914819717407,0.017,0.0184481143951416,0.009032972698188847
5,19,91,0.016442786505032485,6.714974880218506,0.02,0.025681018829345703,-0.003557213494967515
6,17,93,0.02091905283772462,7.054596900939941,0.015000000000000001,0.0167081356048584,0.005919052837724618
7,33,97,0.02761549042092659,5.867141962051392,0.024,0.027678966522216797,0.003615490420926591
8,10,105,0.02913429638977449,6.6371259689331055,0.026,0.026275157928466797,0.003134296389774492
9,26,108,0.027690238973163906,6.636182069778442,0.025,0.021551847457885742,0.0026902389731639047
10,31,109,0.025355435725550334,7.054595947265625,0.029000000000000005,0.022696971893310547,-0.0036445642744496708
11,56,112,0.02501302336926949,7.692039966583252,0.028,0.03297710418701172,-0.002986976630730512
12,68,121,0.01821592774228041,51.69550085067749,0.02,0.008320093154907227,-0.0017840722577195899
13,86,126,0.01244801705982626,9.404462099075317,0.012,0.025897979736328125,0.00044801705982626047
14,16,136,0.03409192254970448,11.067011833190918,0.041999999999999996,0.03142595291137695,-0.007908077450295516
15,25,140,0.021557857795030277,12.598201751708984,0.019000000000000003,0.02426290512084961,0.0025578577950302744
16,20,146,0.029629211997653598,10.796751022338867,0.032,0.026165008544921875,-0.002370788002346403
17,24,161,0.046150179285023706,16.07248282432556,0.035,0.029078006744384766,0.011150179285023702
18,88,171,0.0244106042567402,66.49747920036316,0.022,0.014595270156860352,0.0024106042567402022
19,41,181,0.04284033578737856,19.51397204399109,0.051000000000000004,0.03530287742614746,-0.008159664212621445
20,4,188,0.029569351734459157,35.40374708175659,0.033,0.02513408660888672,-0.003430648265540844
21,52,188,0.03077598008031773,44.53682494163513,0.035,0.015059947967529297,-0.004224019919682274
22,13,200,0.03895825593485795,29.048516988754272,0.043,0.022024154663085938,-0.004041744065142044
23,54,200,0.04510938328983272,28.482606172561646,0.051000000000000004,0.025081157684326172,-0.0058906167101672804
24,50,209,0.0308571660788186,46.87385010719299,0.035,0.02067708969116211,-0.004142833921181404
25,47,215,,-1.0,0.037000000000000005,0.025825977325439453,
26,76,217,,-1.0,0.054000000000000006,0.021053075790405273,
27,84,226,,-1.0,0.026000000000000002,0.017721891403198242,
28,82,231,,-1.0,0.037000000000000005,0.02656269073486328,
29,87,238,,-1.0,0.056,0.029233932495117188,
30,36,240,,-1.0,0.049999999999999996,0.024637937545776367,
31,23,241,,-1.0,0.052000000000000005,0.013988733291625977,
32,43,248,,-1.0,0.047,0.029528141021728516,
33,83,251,,-1.0,0.047,0.014881134033203125,
34,28,252,,-1.0,0.052000000000000005,0.017216920852661133,
35,71,252,,-1.0,0.052,0.018072128295898438,
36,38,255,,-1.0,0.046000000000000006,0.022639036178588867,
37,75,257,,-1.0,0.034,0.02811598777770996,
38,95,259,,-1.0,0.041999999999999996,0.02059793472290039,
39,77,263,,-1.0,0.037000000000000005,0.023837804794311523,
40,58,267,,-1.0,0.043000000000000003,0.02662515640258789,
41,14,273,,-1.0,0.045,0.02023911476135254,
42,18,273,,-1.0,0.044,0.02603602409362793,
43,98,275,,-1.0,0.047,0.020772933959960938,
44,74,277,,-1.0,0.031,0.0242159366607666,
45,5,278,,-1.0,0.057999999999999996,0.02715587615966797,
46,80,279,,-1.0,0.038,0.023181676864624023,
47,35,283,,-1.0,0.046000000000000006,0.03088521957397461,
48,48,285,,-1.0,0.053000000000000005,0.030662059783935547,
